Tick 2(1), Delay 34071 ms, IGT 00:00.000, RTA 00:-34.-71-00:00.000, due world load
Tick 3(1), Delay 1666 ms, IGT 00:00.000, RTA 00:-1.-666-00:00.000, due world load
Tick 4(1), Delay 26 ms, IGT 00:00.000, RTA 00:00.-26-00:00.000, due world load
Tick 5(1), Delay 7 ms, IGT 00:00.000, RTA 00:00.-07-00:00.000, due world load
Tick 6(1), Delay 10 ms, IGT 00:00.000, RTA 00:00.-10-00:00.000, due world load
Tick 7(1), Delay 6 ms, IGT 00:00.000, RTA 00:00.-06-00:00.000, due world load
Tick 8(1), Delay 6 ms, IGT 00:00.000, RTA 00:00.-06-00:00.000, due world load
Tick 9(1), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 10(1), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 11(1), Delay 14 ms, IGT 00:00.000, RTA 00:00.-14-00:00.000, due world load
Tick 12(1), Delay 6 ms, IGT 00:00.000, RTA 00:00.-06-00:00.000, due world load
Tick 13(2), Delay 124 ms, IGT 00:00.060, RTA 00:00.-100-00:00.024
Tick 14(3), Delay 9 ms, IGT 00:00.110, RTA 00:00.024-00:00.033
Tick 15(4), Delay 5 ms, IGT 00:00.160, RTA 00:00.033-00:00.038
Tick 16(5), Delay 5 ms, IGT 00:00.210, RTA 00:00.038-00:00.043
Tick 18(7), Delay 17 ms, IGT 00:00.310, RTA 00:00.091-00:00.108
Tick 19(8), Delay 56 ms, IGT 00:00.360, RTA 00:00.108-00:00.164
Tick 20(9), Delay 67 ms, IGT 00:00.410, RTA 00:00.164-00:00.231
Tick 21(10), Delay 908 ms, IGT 00:00.460, RTA 00:00.231-00:01.139
Tick 22(11), Delay 41 ms, IGT 00:00.510, RTA 00:01.139-00:01.180
Tick 24(13), Delay 76 ms, IGT 00:00.610, RTA 00:01.226-00:01.302
Tick 25(14), Delay 5 ms, IGT 00:00.660, RTA 00:01.302-00:01.307
Tick 28(17), Delay 60 ms, IGT 00:00.810, RTA 00:01.408-00:01.468
Tick 29(18), Delay 75 ms, IGT 00:00.860, RTA 00:01.468-00:01.543
Tick 30(19), Delay 6 ms, IGT 00:00.910, RTA 00:01.543-00:01.549
Tick 31(20), Delay 68 ms, IGT 00:00.960, RTA 00:01.549-00:01.617
Tick 32(21), Delay 58 ms, IGT 00:01.010, RTA 00:01.617-00:01.675
Tick 33(22), Delay 83 ms, IGT 00:01.060, RTA 00:01.675-00:01.758
Tick 34(23), Delay 5 ms, IGT 00:01.110, RTA 00:01.758-00:01.763
Tick 36(25), Delay 91 ms, IGT 00:01.210, RTA 00:01.813-00:01.904
Tick 37(26), Delay 5 ms, IGT 00:01.260, RTA 00:01.904-00:01.909
Tick 38(27), Delay 64 ms, IGT 00:01.310, RTA 00:01.909-00:01.973
Tick 39(28), Delay 35 ms, IGT 00:01.360, RTA 00:01.973-00:02.008
Tick 40(29), Delay 76 ms, IGT 00:01.410, RTA 00:02.008-00:02.084
Tick 41(30), Delay 68 ms, IGT 00:01.460, RTA 00:02.084-00:02.152
Tick 42(31), Delay 5 ms, IGT 00:01.510, RTA 00:02.152-00:02.157
Tick 43(32), Delay 90 ms, IGT 00:01.560, RTA 00:02.157-00:02.247
Tick 44(33), Delay 10 ms, IGT 00:01.610, RTA 00:02.247-00:02.257
Tick 45(34), Delay 42 ms, IGT 00:01.660, RTA 00:02.257-00:02.299
Tick 46(35), Delay 61 ms, IGT 00:01.710, RTA 00:02.299-00:02.360
Tick 47(36), Delay 45 ms, IGT 00:01.760, RTA 00:02.360-00:02.405
Tick 49(38), Delay 86 ms, IGT 00:01.860, RTA 00:02.455-00:02.541
Tick 50(39), Delay 62 ms, IGT 00:01.910, RTA 00:02.541-00:02.603
