Tick 2(1), Delay 22535 ms, IGT 00:00.000, RTA 00:-22.-535-00:00.000, due world load
Tick 3(1), Delay 683 ms, IGT 00:00.000, RTA 00:00.-683-00:00.000, due world load
Tick 4(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 5(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 6(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 7(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 8(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 9(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 10(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 11(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 12(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 13(2), Delay 33 ms, IGT 00:00.058, RTA 00:00.-28-00:00.005
Tick 14(3), Delay 34 ms, IGT 00:00.108, RTA 00:00.005-00:00.039
Tick 15(4), Delay 37 ms, IGT 00:00.158, RTA 00:00.039-00:00.076
Tick 17(6), Delay 57 ms, IGT 00:00.258, RTA 00:00.123-00:00.180
Tick 20(9), Delay 45 ms, IGT 00:00.408, RTA 00:00.282-00:00.327
Tick 22(11), Delay 55 ms, IGT 00:00.508, RTA 00:00.381-00:00.436
Tick 23(12), Delay 36 ms, IGT 00:00.558, RTA 00:00.436-00:00.472
Tick 24(13), Delay 66 ms, IGT 00:00.608, RTA 00:00.472-00:00.538
Tick 25(14), Delay 60 ms, IGT 00:00.658, RTA 00:00.538-00:00.598
Tick 26(15), Delay 26 ms, IGT 00:00.708, RTA 00:00.598-00:00.624
Tick 27(16), Delay 847 ms, IGT 00:00.758, RTA 00:00.624-00:01.471
Tick 28(17), Delay 45 ms, IGT 00:00.808, RTA 00:01.471-00:01.516
Tick 29(18), Delay 70 ms, IGT 00:00.858, RTA 00:01.516-00:01.586
Tick 30(19), Delay 30 ms, IGT 00:00.908, RTA 00:01.586-00:01.616
Tick 32(21), Delay 55 ms, IGT 00:01.008, RTA 00:01.668-00:01.723
Tick 35(24), Delay 60 ms, IGT 00:01.158, RTA 00:01.824-00:01.884
Tick 36(25), Delay 39 ms, IGT 00:01.208, RTA 00:01.884-00:01.923
Tick 37(26), Delay 60 ms, IGT 00:01.258, RTA 00:01.923-00:01.983
Tick 39(28), Delay 44 ms, IGT 00:01.358, RTA 00:02.031-00:02.075
Tick 40(29), Delay 62 ms, IGT 00:01.408, RTA 00:02.075-00:02.137
Tick 41(30), Delay 33 ms, IGT 00:01.458, RTA 00:02.137-00:02.170
Tick 42(31), Delay 10558 ms, IGT 00:01.508, RTA 00:02.170-00:12.728
Tick 45(34), Delay 58 ms, IGT 00:01.658, RTA 00:12.829-00:12.887
Tick 46(35), Delay 61 ms, IGT 00:01.708, RTA 00:12.887-00:12.948
Tick 47(36), Delay 35 ms, IGT 00:01.758, RTA 00:12.948-00:12.983
Tick 49(38), Delay 41 ms, IGT 00:01.858, RTA 00:13.035-00:13.076
Tick 50(39), Delay 77 ms, IGT 00:01.908, RTA 00:13.076-00:13.153
Tick 51(40), Delay 33 ms, IGT 00:01.958, RTA 00:13.153-00:13.186
Tick 55(44), Delay 82 ms, IGT 00:02.158, RTA 00:13.337-00:13.419
Tick 56(45), Delay 15 ms, IGT 00:02.208, RTA 00:13.419-00:13.434
Tick 61(50), Delay 43 ms, IGT 00:02.458, RTA 00:13.633-00:13.676
Tick 63(52), Delay 60 ms, IGT 00:02.558, RTA 00:13.725-00:13.785
Tick 67(56), Delay 45 ms, IGT 00:02.758, RTA 00:13.935-00:13.980
Tick 68(57), Delay 59 ms, IGT 00:02.808, RTA 00:13.980-00:14.039
Tick 70(59), Delay 41 ms, IGT 00:02.908, RTA 00:14.093-00:14.134
Tick 73(62), Delay 57 ms, IGT 00:03.058, RTA 00:14.232-00:14.289
Tick 74(63), Delay 58 ms, IGT 00:03.108, RTA 00:14.289-00:14.347
Tick 75(64), Delay 33 ms, IGT 00:03.158, RTA 00:14.347-00:14.380
Tick 77(66), Delay 45 ms, IGT 00:03.258, RTA 00:14.434-00:14.479
Tick 79(68), Delay 56 ms, IGT 00:03.358, RTA 00:14.527-00:14.583
Tick 83(72), Delay 58 ms, IGT 00:03.558, RTA 00:14.730-00:14.788
Tick 85(74), Delay 39 ms, IGT 00:03.658, RTA 00:14.837-00:14.876
Tick 86(75), Delay 56 ms, IGT 00:03.708, RTA 00:14.876-00:14.932
Tick 89(78), Delay 59 ms, IGT 00:03.858, RTA 00:15.030-00:15.089
Tick 94(83), Delay 56 ms, IGT 00:04.108, RTA 00:15.284-00:15.340
Tick 99(88), Delay 39 ms, IGT 00:04.358, RTA 00:15.538-00:15.577
Tick 100(89), Delay 58 ms, IGT 00:04.408, RTA 00:15.577-00:15.635
Tick 102(91), Delay 69 ms, IGT 00:04.508, RTA 00:15.682-00:15.751
Tick 103(92), Delay 29 ms, IGT 00:04.558, RTA 00:15.751-00:15.780
Tick 106(95), Delay 56 ms, IGT 00:04.708, RTA 00:15.878-00:15.934
Tick 107(96), Delay 42 ms, IGT 00:04.758, RTA 00:15.934-00:15.976
Tick 108(97), Delay 60 ms, IGT 00:04.808, RTA 00:15.976-00:16.036
Tick 110(99), Delay 41 ms, IGT 00:04.908, RTA 00:16.086-00:16.127
Tick 111(100), Delay 57 ms, IGT 00:04.958, RTA 00:16.127-00:16.184
Tick 114(103), Delay 55 ms, IGT 00:05.108, RTA 00:16.279-00:16.334
Tick 115(104), Delay 45 ms, IGT 00:05.158, RTA 00:16.334-00:16.379
Tick 116(105), Delay 60 ms, IGT 00:05.208, RTA 00:16.379-00:16.439
Tick 117(106), Delay 38 ms, IGT 00:05.258, RTA 00:16.439-00:16.477
Tick 118(107), Delay 56 ms, IGT 00:05.308, RTA 00:16.477-00:16.533
Tick 125(114), Delay 62 ms, IGT 00:05.658, RTA 00:16.825-00:16.887
Tick 127(116), Delay 55 ms, IGT 00:05.758, RTA 00:16.933-00:16.988
Tick 128(117), Delay 59 ms, IGT 00:05.808, RTA 00:16.988-00:17.047
Tick 129(118), Delay 43 ms, IGT 00:05.858, RTA 00:17.047-00:17.090
Tick 130(119), Delay 39 ms, IGT 00:05.908, RTA 00:17.090-00:17.129
Tick 131(120), Delay 64 ms, IGT 00:05.958, RTA 00:17.129-00:17.193
Tick 132(121), Delay 41 ms, IGT 00:06.008, RTA 00:17.193-00:17.234
Tick 134(123), Delay 42 ms, IGT 00:06.108, RTA 00:17.284-00:17.326
Tick 135(124), Delay 60 ms, IGT 00:06.158, RTA 00:17.326-00:17.386
Tick 136(125), Delay 42 ms, IGT 00:06.208, RTA 00:17.386-00:17.428
Tick 138(127), Delay 57 ms, IGT 00:06.308, RTA 00:17.480-00:17.537
Tick 145(134), Delay 43 ms, IGT 00:06.658, RTA 00:17.836-00:17.879
Tick 148(137), Delay 58 ms, IGT 00:06.808, RTA 00:17.980-00:18.038
Tick 149(138), Delay 76 ms, IGT 00:06.858, RTA 00:18.038-00:18.114
Tick 150(139), Delay 33 ms, IGT 00:06.908, RTA 00:18.114-00:18.147
Tick 151(140), Delay 31 ms, IGT 00:06.958, RTA 00:18.147-00:18.178
Tick 154(143), Delay 44 ms, IGT 00:07.108, RTA 00:18.283-00:18.327
Tick 155(144), Delay 55 ms, IGT 00:07.158, RTA 00:18.327-00:18.382
Tick 159(148), Delay 56 ms, IGT 00:07.358, RTA 00:18.531-00:18.587
Tick 160(149), Delay 45 ms, IGT 00:07.408, RTA 00:18.587-00:18.632
Tick 168(157), Delay 59 ms, IGT 00:07.808, RTA 00:18.984-00:19.043
Tick 169(158), Delay 34 ms, IGT 00:07.858, RTA 00:19.043-00:19.077
Tick 171(160), Delay 59 ms, IGT 00:07.958, RTA 00:19.130-00:19.189
Tick 175(164), Delay 45 ms, IGT 00:08.158, RTA 00:19.340-00:19.385
Tick 177(166), Delay 45 ms, IGT 00:08.258, RTA 00:19.433-00:19.478
Tick 178(167), Delay 61 ms, IGT 00:08.308, RTA 00:19.478-00:19.539
Tick 179(168), Delay 38 ms, IGT 00:08.358, RTA 00:19.539-00:19.577
Tick 180(169), Delay 55 ms, IGT 00:08.408, RTA 00:19.577-00:19.632
Tick 181(170), Delay 55 ms, IGT 00:08.458, RTA 00:19.632-00:19.687
Tick 182(171), Delay 40 ms, IGT 00:08.508, RTA 00:19.687-00:19.727
Tick 183(172), Delay 56 ms, IGT 00:08.558, RTA 00:19.727-00:19.783
Tick 186(175), Delay 56 ms, IGT 00:08.708, RTA 00:19.880-00:19.936
Tick 190(179), Delay 55 ms, IGT 00:08.908, RTA 00:20.082-00:20.137
Tick 191(180), Delay 44 ms, IGT 00:08.958, RTA 00:20.137-00:20.181
Tick 192(181), Delay 55 ms, IGT 00:09.008, RTA 00:20.181-00:20.236
Tick 193(182), Delay 43 ms, IGT 00:09.058, RTA 00:20.236-00:20.279
Tick 194(183), Delay 58 ms, IGT 00:09.108, RTA 00:20.279-00:20.337
Tick 195(184), Delay 44 ms, IGT 00:09.158, RTA 00:20.337-00:20.381
Tick 200(189), Delay 42 ms, IGT 00:09.408, RTA 00:20.583-00:20.625
Tick 201(190), Delay 68 ms, IGT 00:09.458, RTA 00:20.625-00:20.693
Tick 202(191), Delay 38 ms, IGT 00:09.508, RTA 00:20.693-00:20.731
Tick 204(193), Delay 58 ms, IGT 00:09.608, RTA 00:20.781-00:20.839
Tick 208(197), Delay 41 ms, IGT 00:09.808, RTA 00:20.985-00:21.026
Tick 209(198), Delay 57 ms, IGT 00:09.858, RTA 00:21.026-00:21.083
Tick 213(202), Delay 56 ms, IGT 00:10.058, RTA 00:21.230-00:21.286
Tick 216(205), Delay 43 ms, IGT 00:10.208, RTA 00:21.391-00:21.434
Tick 218(207), Delay 42 ms, IGT 00:10.308, RTA 00:21.486-00:21.528
Tick 219(208), Delay 57 ms, IGT 00:10.358, RTA 00:21.528-00:21.585
Tick 220(209), Delay 43 ms, IGT 00:10.408, RTA 00:21.585-00:21.628
Tick 221(210), Delay 62 ms, IGT 00:10.458, RTA 00:21.628-00:21.690
