Tick 2(1), Delay 19315 ms, IGT 00:00.000, RTA 00:-19.-315-00:00.000, due world load
Tick 3(1), Delay 447 ms, IGT 00:00.000, RTA 00:00.-447-00:00.000, due world load
Tick 4(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 5(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 6(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 7(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 8(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 9(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 10(1), Delay 8 ms, IGT 00:00.000, RTA 00:00.-08-00:00.000, due world load
Tick 11(1), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 12(2), Delay 35 ms, IGT 00:00.093, RTA 00:00.-05-00:00.030
Tick 13(3), Delay 70 ms, IGT 00:00.143, RTA 00:00.030-00:00.100
Tick 14(4), Delay 28 ms, IGT 00:00.193, RTA 00:00.100-00:00.128
Tick 16(6), Delay 56 ms, IGT 00:00.293, RTA 00:00.176-00:00.232
Tick 17(7), Delay 44 ms, IGT 00:00.343, RTA 00:00.232-00:00.276
Tick 18(8), Delay 613 ms, IGT 00:00.393, RTA 00:00.276-00:00.889
Tick 21(11), Delay 67 ms, IGT 00:00.543, RTA 00:00.994-00:01.061
Tick 22(12), Delay 32 ms, IGT 00:00.593, RTA 00:01.061-00:01.093
Tick 26(16), Delay 56 ms, IGT 00:00.793, RTA 00:01.239-00:01.295
Tick 28(18), Delay 64 ms, IGT 00:00.893, RTA 00:01.342-00:01.406
Tick 29(19), Delay 40 ms, IGT 00:00.943, RTA 00:01.406-00:01.446
Tick 31(21), Delay 42 ms, IGT 00:01.043, RTA 00:01.494-00:01.536
Tick 32(22), Delay 69 ms, IGT 00:01.093, RTA 00:01.536-00:01.605
Tick 34(24), Delay 43 ms, IGT 00:01.193, RTA 00:01.651-00:01.694
Tick 35(25), Delay 82 ms, IGT 00:01.243, RTA 00:01.694-00:01.776
Tick 36(26), Delay 17 ms, IGT 00:01.293, RTA 00:01.776-00:01.793
Tick 38(28), Delay 58 ms, IGT 00:01.393, RTA 00:01.843-00:01.901
Tick 39(29), Delay 60 ms, IGT 00:01.443, RTA 00:01.901-00:01.961
Tick 40(30), Delay 76 ms, IGT 00:01.493, RTA 00:01.961-00:02.037
Tick 41(31), Delay 3 ms, IGT 00:01.543, RTA 00:02.037-00:02.040
Tick 42(32), Delay 67 ms, IGT 00:01.593, RTA 00:02.040-00:02.107
Tick 43(33), Delay 56 ms, IGT 00:01.643, RTA 00:02.107-00:02.163
Tick 44(34), Delay 45 ms, IGT 00:01.693, RTA 00:02.163-00:02.208
Tick 45(35), Delay 70 ms, IGT 00:01.743, RTA 00:02.208-00:02.278
Tick 46(36), Delay 31 ms, IGT 00:01.793, RTA 00:02.278-00:02.309
Tick 47(37), Delay 37 ms, IGT 00:01.843, RTA 00:02.309-00:02.346
Tick 48(38), Delay 55 ms, IGT 00:01.893, RTA 00:02.346-00:02.401
Tick 50(40), Delay 43 ms, IGT 00:01.993, RTA 00:02.450-00:02.493
Tick 53(43), Delay 43 ms, IGT 00:02.143, RTA 00:02.592-00:02.635
Tick 54(44), Delay 59 ms, IGT 00:02.193, RTA 00:02.635-00:02.694
Tick 55(45), Delay 40 ms, IGT 00:02.243, RTA 00:02.694-00:02.734
Tick 56(46), Delay 56 ms, IGT 00:02.293, RTA 00:02.734-00:02.790
Tick 57(47), Delay 44 ms, IGT 00:02.343, RTA 00:02.790-00:02.834
Tick 58(48), Delay 11932 ms, IGT 00:02.393, RTA 00:02.834-00:14.766
Tick 60(50), Delay 40 ms, IGT 00:02.493, RTA 00:14.819-00:14.859
Tick 61(51), Delay 56 ms, IGT 00:02.543, RTA 00:14.859-00:14.915
Tick 62(52), Delay 113 ms, IGT 00:02.593, RTA 00:14.915-00:15.028
Tick 63(53), Delay 2 ms, IGT 00:02.643, RTA 00:15.028-00:15.030
Tick 65(55), Delay 42 ms, IGT 00:02.743, RTA 00:15.084-00:15.126
Tick 67(57), Delay 34 ms, IGT 00:02.843, RTA 00:15.175-00:15.209
Tick 68(58), Delay 68 ms, IGT 00:02.893, RTA 00:15.209-00:15.277
Tick 70(60), Delay 39 ms, IGT 00:02.993, RTA 00:15.328-00:15.367
Tick 71(61), Delay 42 ms, IGT 00:03.043, RTA 00:15.367-00:15.409
Tick 72(62), Delay 68 ms, IGT 00:03.093, RTA 00:15.409-00:15.477
Tick 75(65), Delay 30 ms, IGT 00:03.243, RTA 00:15.581-00:15.611
Tick 76(66), Delay 70 ms, IGT 00:03.293, RTA 00:15.611-00:15.681
Tick 77(67), Delay 44 ms, IGT 00:03.343, RTA 00:15.681-00:15.725
