Tick 2(1), Delay 25030 ms, IGT 00:00.000, RTA 00:-25.-30-00:00.000, due world load
Tick 3(1), Delay 488 ms, IGT 00:00.000, RTA 00:00.-488-00:00.000, due world load
Tick 4(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 5(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 6(1), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 7(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 8(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 9(1), Delay 0 ms, IGT 00:00.000, RTA 00:00.000-00:00.000, due world load
Tick 10(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 11(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 12(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 13(2), Delay 29 ms, IGT 00:00.076, RTA 00:00.-14-00:00.015
Tick 14(3), Delay 67 ms, IGT 00:00.126, RTA 00:00.015-00:00.082
Tick 15(4), Delay 33 ms, IGT 00:00.176, RTA 00:00.082-00:00.115
Tick 16(5), Delay 57 ms, IGT 00:00.226, RTA 00:00.115-00:00.172
Tick 18(7), Delay 41 ms, IGT 00:00.326, RTA 00:00.223-00:00.264
Tick 19(8), Delay 66 ms, IGT 00:00.376, RTA 00:00.264-00:00.330
Tick 20(9), Delay 45 ms, IGT 00:00.426, RTA 00:00.330-00:00.375
Tick 21(10), Delay 44 ms, IGT 00:00.476, RTA 00:00.375-00:00.419
Tick 23(12), Delay 44 ms, IGT 00:00.576, RTA 00:00.473-00:00.517
Tick 27(16), Delay 55 ms, IGT 00:00.776, RTA 00:00.670-00:00.725
Tick 28(17), Delay 43 ms, IGT 00:00.826, RTA 00:00.725-00:00.768
Tick 31(20), Delay 92 ms, IGT 00:00.976, RTA 00:00.865-00:00.957
Tick 32(21), Delay 45 ms, IGT 00:01.026, RTA 00:00.957-00:01.002
Tick 33(22), Delay 28 ms, IGT 00:01.076, RTA 00:01.002-00:01.030
Tick 34(23), Delay 41 ms, IGT 00:01.126, RTA 00:01.030-00:01.071
Tick 36(25), Delay 64 ms, IGT 00:01.226, RTA 00:01.119-00:01.183
Tick 37(26), Delay 43 ms, IGT 00:01.276, RTA 00:01.183-00:01.226
Tick 38(27), Delay 40 ms, IGT 00:01.326, RTA 00:01.226-00:01.266
Tick 39(28), Delay 68 ms, IGT 00:01.376, RTA 00:01.266-00:01.334
Tick 40(29), Delay 41 ms, IGT 00:01.426, RTA 00:01.334-00:01.375
Tick 41(30), Delay 41 ms, IGT 00:01.476, RTA 00:01.375-00:01.416
Tick 44(33), Delay 59 ms, IGT 00:01.626, RTA 00:01.515-00:01.574
Tick 45(34), Delay 41 ms, IGT 00:01.676, RTA 00:01.574-00:01.615
Tick 46(35), Delay 69 ms, IGT 00:01.726, RTA 00:01.615-00:01.684
Tick 47(36), Delay 37 ms, IGT 00:01.776, RTA 00:01.684-00:01.721
Tick 51(40), Delay 45 ms, IGT 00:01.976, RTA 00:01.869-00:01.914
Tick 52(41), Delay 60 ms, IGT 00:02.026, RTA 00:01.914-00:01.974
Tick 56(45), Delay 55 ms, IGT 00:02.226, RTA 00:02.117-00:02.172
Tick 57(46), Delay 56 ms, IGT 00:02.276, RTA 00:02.172-00:02.228
Tick 58(47), Delay 37 ms, IGT 00:02.326, RTA 00:02.228-00:02.265
Tick 59(48), Delay 55 ms, IGT 00:02.376, RTA 00:02.265-00:02.320
Tick 60(49), Delay 45 ms, IGT 00:02.426, RTA 00:02.320-00:02.365
Tick 61(50), Delay 69 ms, IGT 00:02.476, RTA 00:02.365-00:02.434
Tick 62(51), Delay 34 ms, IGT 00:02.526, RTA 00:02.434-00:02.468
Tick 64(53), Delay 44 ms, IGT 00:02.626, RTA 00:02.520-00:02.564
Tick 67(56), Delay 61 ms, IGT 00:02.776, RTA 00:02.666-00:02.727
Tick 68(57), Delay 42 ms, IGT 00:02.826, RTA 00:02.727-00:02.769
Tick 69(58), Delay 45 ms, IGT 00:02.876, RTA 00:02.769-00:02.814
Tick 70(59), Delay 55 ms, IGT 00:02.926, RTA 00:02.814-00:02.869
Tick 75(64), Delay 55 ms, IGT 00:03.176, RTA 00:03.065-00:03.120
Tick 76(65), Delay 45 ms, IGT 00:03.226, RTA 00:03.120-00:03.165
Tick 80(69), Delay 55 ms, IGT 00:03.426, RTA 00:03.317-00:03.372
Tick 81(70), Delay 43 ms, IGT 00:03.476, RTA 00:03.372-00:03.415
Tick 99(88), Delay 56 ms, IGT 00:04.376, RTA 00:04.265-00:04.321
Tick 105(94), Delay 57 ms, IGT 00:04.676, RTA 00:04.565-00:04.622
Tick 109(98), Delay 43 ms, IGT 00:04.876, RTA 00:04.773-00:04.816
Tick 113(102), Delay 43 ms, IGT 00:05.076, RTA 00:04.972-00:05.015
Tick 114(103), Delay 55 ms, IGT 00:05.126, RTA 00:05.015-00:05.070
Tick 127(116), Delay 59 ms, IGT 00:05.776, RTA 00:05.665-00:05.724
Tick 129(118), Delay 58 ms, IGT 00:05.876, RTA 00:05.770-00:05.828
Tick 130(119), Delay 38 ms, IGT 00:05.926, RTA 00:05.828-00:05.866
Tick 131(120), Delay 56 ms, IGT 00:05.976, RTA 00:05.866-00:05.922
Tick 132(121), Delay 45 ms, IGT 00:06.026, RTA 00:05.922-00:05.967
Tick 133(122), Delay 55 ms, IGT 00:06.076, RTA 00:05.967-00:06.022
Tick 134(123), Delay 42 ms, IGT 00:06.126, RTA 00:06.022-00:06.064
Tick 135(124), Delay 56 ms, IGT 00:06.176, RTA 00:06.064-00:06.120
Tick 136(125), Delay 43 ms, IGT 00:06.226, RTA 00:06.120-00:06.163
Tick 138(127), Delay 56 ms, IGT 00:06.326, RTA 00:06.214-00:06.270
Tick 149(138), Delay 44 ms, IGT 00:06.876, RTA 00:06.774-00:06.818
Tick 157(146), Delay 82 ms, IGT 00:07.276, RTA 00:07.167-00:07.249
Tick 158(147), Delay 19 ms, IGT 00:07.326, RTA 00:07.249-00:07.268
Tick 160(149), Delay 56 ms, IGT 00:07.426, RTA 00:07.322-00:07.378
Tick 161(150), Delay 43 ms, IGT 00:07.476, RTA 00:07.378-00:07.421
Tick 162(151), Delay 57 ms, IGT 00:07.526, RTA 00:07.421-00:07.478
Tick 163(152), Delay 42 ms, IGT 00:07.576, RTA 00:07.478-00:07.520
Tick 164(153), Delay 45 ms, IGT 00:07.626, RTA 00:07.520-00:07.565
Tick 165(154), Delay 61 ms, IGT 00:07.676, RTA 00:07.565-00:07.626
Tick 167(156), Delay 36 ms, IGT 00:07.776, RTA 00:07.678-00:07.714
Tick 168(157), Delay 56 ms, IGT 00:07.826, RTA 00:07.714-00:07.770
Tick 170(159), Delay 56 ms, IGT 00:07.926, RTA 00:07.816-00:07.872
Tick 172(161), Delay 44 ms, IGT 00:08.026, RTA 00:07.921-00:07.965
Tick 181(170), Delay 42 ms, IGT 00:08.476, RTA 00:08.372-00:08.414
Tick 186(175), Delay 44 ms, IGT 00:08.726, RTA 00:08.622-00:08.666
Tick 187(176), Delay 63 ms, IGT 00:08.776, RTA 00:08.666-00:08.729
Tick 192(181), Delay 45 ms, IGT 00:09.026, RTA 00:08.920-00:08.965
Tick 194(183), Delay 56 ms, IGT 00:09.126, RTA 00:09.015-00:09.071
Tick 195(184), Delay 77 ms, IGT 00:09.176, RTA 00:09.071-00:09.148
Tick 196(185), Delay 22 ms, IGT 00:09.226, RTA 00:09.148-00:09.170
Tick 202(191), Delay 45 ms, IGT 00:09.526, RTA 00:09.423-00:09.468
Tick 204(193), Delay 56 ms, IGT 00:09.626, RTA 00:09.518-00:09.574
Tick 205(194), Delay 45 ms, IGT 00:09.676, RTA 00:09.574-00:09.619
Tick 210(199), Delay 45 ms, IGT 00:09.926, RTA 00:09.820-00:09.865
Tick 214(203), Delay 59 ms, IGT 00:10.126, RTA 00:10.017-00:10.076
Tick 216(205), Delay 37 ms, IGT 00:10.226, RTA 00:10.128-00:10.165
Tick 217(206), Delay 66 ms, IGT 00:10.276, RTA 00:10.165-00:10.231
Tick 218(207), Delay 42 ms, IGT 00:10.326, RTA 00:10.231-00:10.273
