Tick 2(1), Delay 20124 ms, IGT 00:00.000, RTA 00:-20.-124-00:00.000, due world load
Tick 3(1), Delay 461 ms, IGT 00:00.000, RTA 00:00.-461-00:00.000, due world load
Tick 4(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 5(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 6(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 7(1), Delay 0 ms, IGT 00:00.000, RTA 00:00.000-00:00.000, due world load
Tick 8(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 9(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 10(1), Delay 0 ms, IGT 00:00.000, RTA 00:00.000-00:00.000, due world load
Tick 11(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 12(2), Delay 28 ms, IGT 00:00.092, RTA 00:00.-05-00:00.023
Tick 14(4), Delay 36 ms, IGT 00:00.192, RTA 00:00.075-00:00.111
Tick 16(6), Delay 61 ms, IGT 00:00.292, RTA 00:00.162-00:00.223
Tick 17(7), Delay 582 ms, IGT 00:00.342, RTA 00:00.223-00:00.805
Tick 18(8), Delay 63 ms, IGT 00:00.392, RTA 00:00.805-00:00.868
Tick 19(9), Delay 39 ms, IGT 00:00.442, RTA 00:00.868-00:00.907
Tick 21(11), Delay 60 ms, IGT 00:00.542, RTA 00:00.955-00:01.015
Tick 22(12), Delay 45 ms, IGT 00:00.592, RTA 00:01.015-00:01.060
Tick 34(24), Delay 57 ms, IGT 00:01.192, RTA 00:01.608-00:01.665
Tick 36(26), Delay 42 ms, IGT 00:01.292, RTA 00:01.714-00:01.756
Tick 37(27), Delay 55 ms, IGT 00:01.342, RTA 00:01.756-00:01.811
Tick 39(29), Delay 75 ms, IGT 00:01.442, RTA 00:01.857-00:01.932
Tick 40(30), Delay 22 ms, IGT 00:01.492, RTA 00:01.932-00:01.954
Tick 41(31), Delay 75 ms, IGT 00:01.542, RTA 00:01.954-00:02.029
Tick 42(32), Delay 31 ms, IGT 00:01.592, RTA 00:02.029-00:02.060
Tick 45(35), Delay 39 ms, IGT 00:01.742, RTA 00:02.165-00:02.204
Tick 46(36), Delay 57 ms, IGT 00:01.792, RTA 00:02.204-00:02.261
Tick 47(37), Delay 44 ms, IGT 00:01.842, RTA 00:02.261-00:02.305
Tick 49(39), Delay 57 ms, IGT 00:01.942, RTA 00:02.358-00:02.415
Tick 50(40), Delay 43 ms, IGT 00:01.992, RTA 00:02.415-00:02.458
Tick 52(42), Delay 82 ms, IGT 00:02.092, RTA 00:02.505-00:02.587
Tick 53(43), Delay 22 ms, IGT 00:02.142, RTA 00:02.587-00:02.609
Tick 54(44), Delay 57 ms, IGT 00:02.192, RTA 00:02.609-00:02.666
Tick 55(45), Delay 41 ms, IGT 00:02.242, RTA 00:02.666-00:02.707
Tick 63(53), Delay 56 ms, IGT 00:02.642, RTA 00:03.055-00:03.111
Tick 64(54), Delay 77 ms, IGT 00:02.692, RTA 00:03.111-00:03.188
Tick 65(55), Delay 34 ms, IGT 00:02.742, RTA 00:03.188-00:03.222
Tick 66(56), Delay 34 ms, IGT 00:02.792, RTA 00:03.222-00:03.256
Tick 67(57), Delay 56 ms, IGT 00:02.842, RTA 00:03.256-00:03.312
Tick 70(60), Delay 55 ms, IGT 00:02.992, RTA 00:03.412-00:03.467
Tick 71(61), Delay 40 ms, IGT 00:03.042, RTA 00:03.467-00:03.507
Tick 72(62), Delay 57 ms, IGT 00:03.092, RTA 00:03.507-00:03.564
Tick 74(64), Delay 45 ms, IGT 00:03.192, RTA 00:03.610-00:03.655
Tick 75(65), Delay 55 ms, IGT 00:03.242, RTA 00:03.655-00:03.710
Tick 79(69), Delay 45 ms, IGT 00:03.442, RTA 00:03.859-00:03.904
Tick 80(70), Delay 57 ms, IGT 00:03.492, RTA 00:03.904-00:03.961
Tick 81(71), Delay 45 ms, IGT 00:03.542, RTA 00:03.961-00:04.006
Tick 94(84), Delay 64 ms, IGT 00:04.192, RTA 00:04.611-00:04.675
Tick 95(85), Delay 32 ms, IGT 00:04.242, RTA 00:04.675-00:04.707
Tick 99(89), Delay 45 ms, IGT 00:04.442, RTA 00:04.858-00:04.903
Tick 100(90), Delay 62 ms, IGT 00:04.492, RTA 00:04.903-00:04.965
Tick 101(91), Delay 90 ms, IGT 00:04.542, RTA 00:04.965-00:05.055
Tick 102(92), Delay 11 ms, IGT 00:04.592, RTA 00:05.055-00:05.066
Tick 104(94), Delay 43 ms, IGT 00:04.692, RTA 00:05.118-00:05.161
