Tick 2(1), Delay 20130 ms, IGT 00:00.000, RTA 00:-20.-130-00:00.000, due world load
Tick 3(1), Delay 456 ms, IGT 00:00.000, RTA 00:00.-456-00:00.000, due world load
Tick 4(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 5(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 6(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 7(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 8(1), Delay 1 ms, IGT 00:00.000, RTA 00:00.-01-00:00.000, due world load
Tick 9(1), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 10(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 11(1), Delay 2 ms, IGT 00:00.000, RTA 00:00.-02-00:00.000, due world load
Tick 13(3), Delay 35 ms, IGT 00:00.136, RTA 00:00.034-00:00.069
Tick 14(4), Delay 60 ms, IGT 00:00.186, RTA 00:00.069-00:00.129
Tick 15(5), Delay 32 ms, IGT 00:00.236, RTA 00:00.129-00:00.161
Tick 16(6), Delay 55 ms, IGT 00:00.286, RTA 00:00.161-00:00.216
Tick 17(7), Delay 101 ms, IGT 00:00.336, RTA 00:00.216-00:00.317
Tick 18(8), Delay 3 ms, IGT 00:00.386, RTA 00:00.317-00:00.320
Tick 20(10), Delay 45 ms, IGT 00:00.486, RTA 00:00.366-00:00.411
Tick 21(11), Delay 64 ms, IGT 00:00.536, RTA 00:00.411-00:00.475
Tick 22(12), Delay 55 ms, IGT 00:00.586, RTA 00:00.475-00:00.530
Tick 23(13), Delay 633 ms, IGT 00:00.636, RTA 00:00.530-00:01.163
Tick 24(14), Delay 58 ms, IGT 00:00.686, RTA 00:01.163-00:01.221
Tick 25(15), Delay 45 ms, IGT 00:00.736, RTA 00:01.221-00:01.266
Tick 26(16), Delay 56 ms, IGT 00:00.786, RTA 00:01.266-00:01.322
Tick 27(17), Delay 59 ms, IGT 00:00.836, RTA 00:01.322-00:01.381
Tick 29(19), Delay 30 ms, IGT 00:00.936, RTA 00:01.433-00:01.463
