Tick 2(1), Delay 23748 ms, IGT 00:00.000, RTA 00:-23.-748-00:00.000, due world load
Tick 3(1), Delay 879 ms, IGT 00:00.000, RTA 00:00.-879-00:00.000, due world load
Tick 4(1), Delay 14 ms, IGT 00:00.000, RTA 00:00.-14-00:00.000, due world load
Tick 6(3), Delay 66 ms, IGT 00:00.130, RTA 00:00.029-00:00.095
Tick 7(4), Delay 90 ms, IGT 00:00.180, RTA 00:00.095-00:00.185
Tick 8(5), Delay 4 ms, IGT 00:00.230, RTA 00:00.185-00:00.189
Tick 9(6), Delay 30 ms, IGT 00:00.280, RTA 00:00.189-00:00.219
Tick 10(7), Delay 45 ms, IGT 00:00.330, RTA 00:00.219-00:00.264
Tick 11(8), Delay 64 ms, IGT 00:00.380, RTA 00:00.264-00:00.328
Tick 12(9), Delay 40 ms, IGT 00:00.430, RTA 00:00.328-00:00.368
Tick 13(10), Delay 69 ms, IGT 00:00.480, RTA 00:00.368-00:00.437
Tick 14(11), Delay 57 ms, IGT 00:00.530, RTA 00:00.437-00:00.494
Tick 16(13), Delay 33 ms, IGT 00:00.630, RTA 00:00.543-00:00.576
Tick 17(14), Delay 32 ms, IGT 00:00.680, RTA 00:00.576-00:00.608
Tick 18(15), Delay 60 ms, IGT 00:00.730, RTA 00:00.608-00:00.668
Tick 20(17), Delay 134 ms, IGT 00:00.830, RTA 00:00.720-00:00.854
Tick 21(18), Delay 2 ms, IGT 00:00.880, RTA 00:00.854-00:00.856
Tick 22(19), Delay 36 ms, IGT 00:00.930, RTA 00:00.856-00:00.892
Tick 23(20), Delay 76 ms, IGT 00:00.980, RTA 00:00.892-00:00.968
Tick 24(21), Delay 15 ms, IGT 00:01.030, RTA 00:00.968-00:00.983
Tick 25(22), Delay 69 ms, IGT 00:01.080, RTA 00:00.983-00:01.052
Tick 26(23), Delay 65 ms, IGT 00:01.130, RTA 00:01.052-00:01.117
Tick 27(24), Delay 34 ms, IGT 00:01.180, RTA 00:01.117-00:01.151
Tick 29(26), Delay 73 ms, IGT 00:01.280, RTA 00:01.204-00:01.277
Tick 30(27), Delay 4 ms, IGT 00:01.330, RTA 00:01.277-00:01.281
Tick 33(30), Delay 88 ms, IGT 00:01.480, RTA 00:01.382-00:01.470
Tick 34(31), Delay 3 ms, IGT 00:01.530, RTA 00:01.470-00:01.473
Tick 36(33), Delay 70 ms, IGT 00:01.630, RTA 00:01.521-00:01.591
Tick 37(34), Delay 77 ms, IGT 00:01.680, RTA 00:01.591-00:01.668
Tick 38(35), Delay 62 ms, IGT 00:01.730, RTA 00:01.668-00:01.730
Tick 39(36), Delay 10 ms, IGT 00:01.780, RTA 00:01.730-00:01.740
Tick 40(37), Delay 43 ms, IGT 00:01.830, RTA 00:01.740-00:01.783
Tick 41(38), Delay 65 ms, IGT 00:01.880, RTA 00:01.783-00:01.848
Tick 42(39), Delay 25 ms, IGT 00:01.930, RTA 00:01.848-00:01.873
Tick 43(40), Delay 77 ms, IGT 00:01.980, RTA 00:01.873-00:01.950
Tick 44(41), Delay 38 ms, IGT 00:02.030, RTA 00:01.950-00:01.988
Tick 45(42), Delay 39 ms, IGT 00:02.080, RTA 00:01.988-00:02.027
Tick 46(43), Delay 44 ms, IGT 00:02.130, RTA 00:02.027-00:02.071
Tick 47(44), Delay 37 ms, IGT 00:02.180, RTA 00:02.071-00:02.108
Tick 48(45), Delay 76 ms, IGT 00:02.230, RTA 00:02.108-00:02.184
Tick 49(46), Delay 34 ms, IGT 00:02.280, RTA 00:02.184-00:02.218
Tick 51(48), Delay 42 ms, IGT 00:02.380, RTA 00:02.267-00:02.309
Tick 52(49), Delay 62 ms, IGT 00:02.430, RTA 00:02.309-00:02.371
Tick 53(50), Delay 33 ms, IGT 00:02.480, RTA 00:02.371-00:02.404
Tick 54(51), Delay 80 ms, IGT 00:02.530, RTA 00:02.404-00:02.484
Tick 55(52), Delay 26 ms, IGT 00:02.580, RTA 00:02.484-00:02.510
Tick 57(54), Delay 72 ms, IGT 00:02.680, RTA 00:02.560-00:02.632
Tick 58(55), Delay 42 ms, IGT 00:02.730, RTA 00:02.632-00:02.674
Tick 59(56), Delay 42 ms, IGT 00:02.780, RTA 00:02.674-00:02.716
Tick 60(57), Delay 42 ms, IGT 00:02.830, RTA 00:02.716-00:02.758
Tick 61(58), Delay 55 ms, IGT 00:02.880, RTA 00:02.758-00:02.813
Tick 62(59), Delay 60 ms, IGT 00:02.930, RTA 00:02.813-00:02.873
Tick 63(60), Delay 44 ms, IGT 00:02.980, RTA 00:02.873-00:02.917
Tick 64(61), Delay 67 ms, IGT 00:03.030, RTA 00:02.917-00:02.984
Tick 65(62), Delay 40 ms, IGT 00:03.080, RTA 00:02.984-00:03.024
Tick 66(63), Delay 35 ms, IGT 00:03.130, RTA 00:03.024-00:03.059
Tick 68(65), Delay 58 ms, IGT 00:03.230, RTA 00:03.109-00:03.167
Tick 69(66), Delay 42 ms, IGT 00:03.280, RTA 00:03.167-00:03.209
Tick 70(67), Delay 62 ms, IGT 00:03.330, RTA 00:03.209-00:03.271
Tick 71(68), Delay 45 ms, IGT 00:03.380, RTA 00:03.271-00:03.316
Tick 73(70), Delay 34 ms, IGT 00:03.480, RTA 00:03.369-00:03.403
Tick 74(71), Delay 60 ms, IGT 00:03.530, RTA 00:03.403-00:03.463
Tick 75(72), Delay 65 ms, IGT 00:03.580, RTA 00:03.463-00:03.528
Tick 76(73), Delay 38 ms, IGT 00:03.630, RTA 00:03.528-00:03.566
Tick 77(74), Delay 55 ms, IGT 00:03.680, RTA 00:03.566-00:03.621
Tick 78(75), Delay 38 ms, IGT 00:03.730, RTA 00:03.621-00:03.659
Tick 79(76), Delay 69 ms, IGT 00:03.780, RTA 00:03.659-00:03.728
Tick 80(77), Delay 37 ms, IGT 00:03.830, RTA 00:03.728-00:03.765
Tick 81(78), Delay 60 ms, IGT 00:03.880, RTA 00:03.765-00:03.825
Tick 82(79), Delay 39 ms, IGT 00:03.930, RTA 00:03.825-00:03.864
Tick 83(80), Delay 70 ms, IGT 00:03.980, RTA 00:03.864-00:03.934
Tick 84(81), Delay 37 ms, IGT 00:04.030, RTA 00:03.934-00:03.971
Tick 85(82), Delay 65 ms, IGT 00:04.080, RTA 00:03.971-00:04.036
Tick 86(83), Delay 43 ms, IGT 00:04.130, RTA 00:04.036-00:04.079
Tick 87(84), Delay 81 ms, IGT 00:04.180, RTA 00:04.079-00:04.160
Tick 88(85), Delay 40 ms, IGT 00:04.230, RTA 00:04.160-00:04.200
Tick 89(86), Delay 23 ms, IGT 00:04.280, RTA 00:04.200-00:04.223
Tick 91(88), Delay 45 ms, IGT 00:04.380, RTA 00:04.273-00:04.318
Tick 92(89), Delay 43 ms, IGT 00:04.430, RTA 00:04.318-00:04.361
Tick 93(90), Delay 70 ms, IGT 00:04.480, RTA 00:04.361-00:04.431
Tick 94(91), Delay 60 ms, IGT 00:04.530, RTA 00:04.431-00:04.491
Tick 95(92), Delay 31 ms, IGT 00:04.580, RTA 00:04.491-00:04.522
Tick 98(95), Delay 34 ms, IGT 00:04.730, RTA 00:04.622-00:04.656
Tick 100(97), Delay 64 ms, IGT 00:04.830, RTA 00:04.709-00:04.773
Tick 101(98), Delay 56 ms, IGT 00:04.880, RTA 00:04.773-00:04.829
Tick 102(99), Delay 28 ms, IGT 00:04.930, RTA 00:04.829-00:04.857
Tick 103(100), Delay 77 ms, IGT 00:04.980, RTA 00:04.857-00:04.934
Tick 104(101), Delay 28 ms, IGT 00:05.030, RTA 00:04.934-00:04.962
