Tick 2(1), Delay 25655 ms, IGT 00:00.000, RTA 00:-25.-655-00:00.000, due world load
Tick 3(2), Delay 777 ms, IGT 00:00.052, RTA 00:00.-760-00:00.017
Tick 5(4), Delay 73 ms, IGT 00:00.152, RTA 00:00.070-00:00.143
Tick 6(5), Delay 26 ms, IGT 00:00.202, RTA 00:00.143-00:00.169
Tick 7(6), Delay 55 ms, IGT 00:00.252, RTA 00:00.169-00:00.224
Tick 8(7), Delay 45 ms, IGT 00:00.302, RTA 00:00.224-00:00.269
Tick 10(9), Delay 72 ms, IGT 00:00.402, RTA 00:00.318-00:00.390
Tick 11(10), Delay 34 ms, IGT 00:00.452, RTA 00:00.390-00:00.424
Tick 12(11), Delay 41 ms, IGT 00:00.502, RTA 00:00.424-00:00.465
Tick 13(12), Delay 70 ms, IGT 00:00.552, RTA 00:00.465-00:00.535
Tick 14(13), Delay 39 ms, IGT 00:00.602, RTA 00:00.535-00:00.574
Tick 15(14), Delay 41 ms, IGT 00:00.652, RTA 00:00.574-00:00.615
Tick 16(15), Delay 45 ms, IGT 00:00.702, RTA 00:00.615-00:00.660
Tick 17(16), Delay 90 ms, IGT 00:00.752, RTA 00:00.660-00:00.750
Tick 18(17), Delay 60 ms, IGT 00:00.802, RTA 00:00.750-00:00.810
Tick 21(20), Delay 29 ms, IGT 00:00.952, RTA 00:00.908-00:00.937
Tick 22(21), Delay 32 ms, IGT 00:01.002, RTA 00:00.937-00:00.969
Tick 24(23), Delay 43 ms, IGT 00:01.102, RTA 00:01.022-00:01.065
Tick 25(24), Delay 60 ms, IGT 00:01.152, RTA 00:01.065-00:01.125
Tick 29(28), Delay 121 ms, IGT 00:01.352, RTA 00:01.267-00:01.388
Tick 30(29), Delay 3 ms, IGT 00:01.402, RTA 00:01.388-00:01.391
Tick 31(30), Delay 27 ms, IGT 00:01.452, RTA 00:01.391-00:01.418
Tick 32(31), Delay 100 ms, IGT 00:01.502, RTA 00:01.418-00:01.518
Tick 33(32), Delay 2 ms, IGT 00:01.552, RTA 00:01.518-00:01.520
Tick 34(33), Delay 45 ms, IGT 00:01.602, RTA 00:01.520-00:01.565
Tick 35(34), Delay 63 ms, IGT 00:01.652, RTA 00:01.565-00:01.628
Tick 36(35), Delay 41 ms, IGT 00:01.702, RTA 00:01.628-00:01.669
Tick 37(36), Delay 82 ms, IGT 00:01.752, RTA 00:01.669-00:01.751
Tick 38(37), Delay 16 ms, IGT 00:01.802, RTA 00:01.751-00:01.767
Tick 39(38), Delay 44 ms, IGT 00:01.852, RTA 00:01.767-00:01.811
