Tick 2(1), Delay 23840 ms, IGT 00:00.000, RTA 00:-23.-840-00:00.000, due world load
Tick 3(2), Delay 1477 ms, IGT 00:00.051, RTA 00:-1.-473-00:00.004
Tick 8(7), Delay 55 ms, IGT 00:00.301, RTA 00:00.200-00:00.255
Tick 11(10), Delay 45 ms, IGT 00:00.451, RTA 00:00.355-00:00.400
Tick 13(12), Delay 58 ms, IGT 00:00.551, RTA 00:00.449-00:00.507
Tick 16(15), Delay 45 ms, IGT 00:00.701, RTA 00:00.608-00:00.653
Tick 18(17), Delay 58 ms, IGT 00:00.801, RTA 00:00.704-00:00.762
Tick 19(18), Delay 41 ms, IGT 00:00.851, RTA 00:00.762-00:00.803
Tick 22(21), Delay 59 ms, IGT 00:01.001, RTA 00:00.900-00:00.959
Tick 29(28), Delay 61 ms, IGT 00:01.351, RTA 00:01.251-00:01.312
Tick 31(30), Delay 41 ms, IGT 00:01.451, RTA 00:01.359-00:01.400
Tick 33(32), Delay 69 ms, IGT 00:01.551, RTA 00:01.447-00:01.516
Tick 34(33), Delay 32 ms, IGT 00:01.601, RTA 00:01.516-00:01.548
Tick 35(34), Delay 75 ms, IGT 00:01.651, RTA 00:01.548-00:01.623
Tick 37(36), Delay 45 ms, IGT 00:01.751, RTA 00:01.671-00:01.716
Tick 38(37), Delay 40 ms, IGT 00:01.801, RTA 00:01.716-00:01.756
Tick 39(38), Delay 56 ms, IGT 00:01.851, RTA 00:01.756-00:01.812
Tick 40(39), Delay 78 ms, IGT 00:01.901, RTA 00:01.812-00:01.890
Tick 41(40), Delay 26 ms, IGT 00:01.951, RTA 00:01.890-00:01.916
Tick 42(41), Delay 65 ms, IGT 00:02.001, RTA 00:01.916-00:01.981
Tick 44(43), Delay 19 ms, IGT 00:02.101, RTA 00:02.034-00:02.053
Tick 45(44), Delay 61 ms, IGT 00:02.151, RTA 00:02.053-00:02.114
Tick 46(45), Delay 40 ms, IGT 00:02.201, RTA 00:02.114-00:02.154
Tick 48(47), Delay 66 ms, IGT 00:02.301, RTA 00:02.207-00:02.273
Tick 49(48), Delay 30 ms, IGT 00:02.351, RTA 00:02.273-00:02.303
Tick 52(51), Delay 58 ms, IGT 00:02.501, RTA 00:02.399-00:02.457
Tick 54(53), Delay 39 ms, IGT 00:02.601, RTA 00:02.510-00:02.549
Tick 57(56), Delay 57 ms, IGT 00:02.751, RTA 00:02.652-00:02.709
Tick 59(58), Delay 59 ms, IGT 00:02.851, RTA 00:02.757-00:02.816
Tick 60(59), Delay 41 ms, IGT 00:02.901, RTA 00:02.816-00:02.857
Tick 61(60), Delay 45 ms, IGT 00:02.951, RTA 00:02.857-00:02.902
Tick 64(63), Delay 45 ms, IGT 00:03.101, RTA 00:03.006-00:03.051
Tick 67(66), Delay 56 ms, IGT 00:03.251, RTA 00:03.147-00:03.203
Tick 69(68), Delay 44 ms, IGT 00:03.351, RTA 00:03.255-00:03.299
Tick 70(69), Delay 56 ms, IGT 00:03.401, RTA 00:03.299-00:03.355
Tick 71(70), Delay 44 ms, IGT 00:03.451, RTA 00:03.355-00:03.399
Tick 72(71), Delay 55 ms, IGT 00:03.501, RTA 00:03.399-00:03.454
Tick 76(75), Delay 43 ms, IGT 00:03.701, RTA 00:03.605-00:03.648
Tick 77(76), Delay 55 ms, IGT 00:03.751, RTA 00:03.648-00:03.703
Tick 79(78), Delay 60 ms, IGT 00:03.851, RTA 00:03.756-00:03.816
Tick 80(79), Delay 41 ms, IGT 00:03.901, RTA 00:03.816-00:03.857
Tick 84(83), Delay 61 ms, IGT 00:04.101, RTA 00:04.004-00:04.065
Tick 85(84), Delay 34 ms, IGT 00:04.151, RTA 00:04.065-00:04.099
Tick 87(86), Delay 57 ms, IGT 00:04.251, RTA 00:04.149-00:04.206
Tick 95(94), Delay 59 ms, IGT 00:04.651, RTA 00:04.549-00:04.608
Tick 99(98), Delay 42 ms, IGT 00:04.851, RTA 00:04.758-00:04.800
Tick 101(100), Delay 83 ms, IGT 00:04.951, RTA 00:04.853-00:04.936
Tick 102(101), Delay 15 ms, IGT 00:05.001, RTA 00:04.936-00:04.951
Tick 116(115), Delay 45 ms, IGT 00:05.701, RTA 00:05.603-00:05.648
Tick 117(116), Delay 55 ms, IGT 00:05.751, RTA 00:05.648-00:05.703
Tick 119(118), Delay 57 ms, IGT 00:05.851, RTA 00:05.754-00:05.811
Tick 120(119), Delay 41 ms, IGT 00:05.901, RTA 00:05.811-00:05.852
Tick 124(123), Delay 42 ms, IGT 00:06.101, RTA 00:06.007-00:06.049
Tick 128(127), Delay 57 ms, IGT 00:06.301, RTA 00:06.202-00:06.259
Tick 130(129), Delay 40 ms, IGT 00:06.401, RTA 00:06.308-00:06.348
Tick 131(130), Delay 55 ms, IGT 00:06.451, RTA 00:06.348-00:06.403
Tick 133(132), Delay 60 ms, IGT 00:06.551, RTA 00:06.453-00:06.513
Tick 134(133), Delay 41 ms, IGT 00:06.601, RTA 00:06.513-00:06.554
Tick 137(136), Delay 45 ms, IGT 00:06.751, RTA 00:06.657-00:06.702
Tick 138(137), Delay 57 ms, IGT 00:06.801, RTA 00:06.702-00:06.759
Tick 139(138), Delay 40 ms, IGT 00:06.851, RTA 00:06.759-00:06.799
Tick 153(152), Delay 55 ms, IGT 00:07.551, RTA 00:07.448-00:07.503
Tick 155(154), Delay 55 ms, IGT 00:07.651, RTA 00:07.550-00:07.605
Tick 160(159), Delay 45 ms, IGT 00:07.901, RTA 00:07.805-00:07.850
Tick 164(163), Delay 56 ms, IGT 00:08.101, RTA 00:07.999-00:08.055
