Tick 2(1), Delay 560 ms, IGT 00:00.000, RTA 00:00.-560-00:00.000, due world load
Tick 3(1), Delay 99 ms, IGT 00:00.000, RTA 00:00.-99-00:00.000, due world load
Tick 4(1), Delay 0 ms, IGT 00:00.000, RTA 00:00.000-00:00.000, due world load
Tick 1386(1383), Delay 66 ms, IGT 01:09.149, RTA 01:09.050-01:09.116
Tick 1387(1384), Delay 35 ms, IGT 01:09.199, RTA 01:09.116-01:09.151
Tick 2354(2351), Delay 56 ms, IGT 01:57.549, RTA 01:57.451-01:57.507
Tick 2355(2352), Delay 44 ms, IGT 01:57.599, RTA 01:57.507-01:57.551
Tick 3356(3353), Delay 59 ms, IGT 02:47.649, RTA 02:47.552-02:47.611
Tick 3357(3354), Delay 41 ms, IGT 02:47.699, RTA 02:47.611-02:47.652
Tick 4290(4287), Delay 66 ms, IGT 03:34.349, RTA 03:34.253-03:34.319
Tick 4291(4288), Delay 34 ms, IGT 03:34.399, RTA 03:34.319-03:34.353
Tick 5203(5200), Delay 43 ms, IGT 04:19.999, RTA 04:19.905-04:19.948
Tick 5204(5201), Delay 56 ms, IGT 04:20.049, RTA 04:19.948-04:20.004
Tick 6087(6084), Delay 39 ms, IGT 05:04.199, RTA 05:04.104-05:04.143
Tick 6088(6085), Delay 61 ms, IGT 05:04.249, RTA 05:04.143-05:04.204
Tick 9694(9691), Delay 34 ms, IGT 08:04.549, RTA 08:04.458-08:04.492
Tick 9695(9692), Delay 66 ms, IGT 08:04.599, RTA 08:04.492-08:04.558
Tick 10082(10079), Delay 34 ms, IGT 08:23.949, RTA 08:23.858-08:23.892
Tick 10083(10080), Delay 66 ms, IGT 08:23.999, RTA 08:23.892-08:23.958
Tick 10087(10084), Delay 34 ms, IGT 08:24.199, RTA 08:24.108-08:24.142
Tick 10088(10085), Delay 65 ms, IGT 08:24.249, RTA 08:24.142-08:24.207
Tick 10096(10093), Delay 34 ms, IGT 08:24.649, RTA 08:24.558-08:24.592
Tick 10097(10094), Delay 66 ms, IGT 08:24.699, RTA 08:24.592-08:24.658
Tick 10163(10160), Delay 33 ms, IGT 08:27.999, RTA 08:27.909-08:27.942
Tick 10164(10161), Delay 66 ms, IGT 08:28.049, RTA 08:27.942-08:28.008
Tick 10165(10162), Delay 34 ms, IGT 08:28.099, RTA 08:28.008-08:28.042
Tick 10170(10167), Delay 66 ms, IGT 08:28.349, RTA 08:28.242-08:28.308
Tick 10171(10168), Delay 34 ms, IGT 08:28.399, RTA 08:28.308-08:28.342
Tick 10180(10177), Delay 66 ms, IGT 08:28.849, RTA 08:28.742-08:28.808
Tick 10181(10178), Delay 34 ms, IGT 08:28.899, RTA 08:28.808-08:28.842
Tick 10196(10193), Delay 65 ms, IGT 08:29.649, RTA 08:29.543-08:29.608
Tick 10197(10194), Delay 34 ms, IGT 08:29.699, RTA 08:29.608-08:29.642
Tick 10206(10203), Delay 66 ms, IGT 08:30.149, RTA 08:30.042-08:30.108
Tick 10207(10204), Delay 34 ms, IGT 08:30.199, RTA 08:30.108-08:30.142
Tick 10216(10213), Delay 66 ms, IGT 08:30.649, RTA 08:30.542-08:30.608
Tick 10217(10214), Delay 34 ms, IGT 08:30.699, RTA 08:30.608-08:30.642
Tick 10226(10223), Delay 66 ms, IGT 08:31.149, RTA 08:31.042-08:31.108
Tick 10227(10224), Delay 34 ms, IGT 08:31.199, RTA 08:31.108-08:31.142
Tick 10236(10233), Delay 65 ms, IGT 08:31.649, RTA 08:31.543-08:31.608
Tick 10237(10234), Delay 34 ms, IGT 08:31.699, RTA 08:31.608-08:31.642
Tick 10238(10235), Delay 67 ms, IGT 08:31.749, RTA 08:31.642-08:31.709
Tick 10239(10236), Delay 34 ms, IGT 08:31.799, RTA 08:31.709-08:31.743
Tick 10240(10237), Delay 66 ms, IGT 08:31.849, RTA 08:31.743-08:31.809
Tick 10241(10238), Delay 33 ms, IGT 08:31.899, RTA 08:31.809-08:31.842
