No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
1    08:48.049      08:48.009      08:55.260      7.251      7.251      Paused by player, Unpause by player
2    08:52.749      08:59.946      09:11.443      11.497     11.497     Paused by player, Unpause by player
3    08:54.299      09:12.958      09:25.494      12.536     12.536     Paused by player, Unpause by player
4    08:57.949      09:29.126      09:30.226      1.100      1.100      Paused by player, Unpause by player
5    09:00.399      09:32.678      11:23.363      110.685    110.685    Paused by player, Unpause by player
6    09:02.299      11:25.248      11:39.964      14.716     14.716     Paused by player, Unpause by player
7    09:11.099      11:48.728      12:11.364      22.636     22.636     Paused by player, Unpause by player
8    09:19.549      12:19.795      12:23.297      3.502      3.502      Paused by player, Unpause by player
9    09:19.849      12:23.578      12:24.163      0.585      0.585      Paused by player, Unpause by player
10   09:20.249      12:24.562      12:25.764      1.202      1.202      Paused by player, Unpause by player
11   09:25.249      12:30.762      12:31.431      0.669      0.669      Paused by player, Unpause by player
12   09:25.649      12:31.812      12:32.613      0.801      0.801      Paused by player, Unpause by player
13   09:26.049      12:32.995      12:33.747      0.752      0.752      Paused by player, Unpause by player
14   09:33.999      12:41.680      12:43.549      1.869      1.869      Paused by player, Unpause by player
15   09:39.349      12:48.862      12:49.848      0.986      0.986      Paused by player, Unpause by player
16   09:40.049      12:50.529      12:54.949      4.420      4.420      Paused by player, Unpause by player
17   09:52.849      13:07.713      13:08.615      0.902      0.902      Paused by player, Unpause by player
18   09:53.249      13:08.980      13:15.497      6.517      6.517      Paused by player, Unpause by player
19   09:59.099      13:21.381      13:26.416      5.035      5.035      Paused by player, Unpause by player
20   10:07.649      13:34.929      13:36.448      1.519      1.519      Paused by player, Unpause by player
21   10:17.699      13:46.497      14:00.748      14.251     14.251     Paused by player, Unpause by player
22   10:44.599      14:27.648      14:29.166      1.518      1.518      Paused by player, Unpause by player
23   10:45.749      14:30.298      14:30.867      0.569      0.569      Paused by player, Unpause by player
24   10:46.249      14:31.331      14:33.617      2.286      2.286      Paused by player, Unpause by player
25   12:42.399      16:29.784      16:32.602      2.818      2.818      Paused by player, Unpause by player
26   12:43.749      16:33.917      16:36.686      2.769      2.769      Paused by player, Unpause by player
27   13:38.099      17:31.050      17:32.969      1.919      1.919      Paused by player, Unpause by player
